,Title,Context,Unnamed: 2,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,URL,Release Date
24,澳外长将访新喀里多尼亚 AUKUS、印太战略为议程重点,【南太之声编译报道】澳大利亚外长黄英贤（Penny Wong）计划本周前往新喀里多尼亚，会见新喀里多尼亚总统马普（Louis Mapou）。马普是40年来第一位领导新喀里多尼亚的卡纳克独立领袖。这次访问是一个值得欢迎的机会马绍尔群岛《岛国商报》17日报道，马普说，这次访问是一个值得欢迎的机会，可以扩展与新喀里多尼亚最亲密邻国的关系，并讨论地区事务和太平洋岛国论坛的工作。马普强调，新喀里多尼亚希望与该地区建立更密切的关系，尽管是在澳大利亚总理阿尔巴尼斯（Anthony Albanese）正在通过AUKUS安全协议和法国-澳大利亚战略伙伴关系扩大与西方大国的地缘政治关系的时候。马普表示，他感谢澳大利亚对原住民的认可，并强调了原住民在区域事务中的重要性，他说，“自决和解放是太平洋岛国论坛2050年蓝色太平洋大陆战略的核心原则”。他说:“原住民的想法对于澳大利亚如何在论坛内与我们和其他太平洋岛国交往也很重要。”“澳大利亚是一个大国，在太平洋地区负有责任。我们希望，在澳大利亚同新喀里多尼亚交往时，它将利用这一观点来处理卡纳克习俗制度，即原住民问题。如果他们这样做，我们将表示欢迎。”对AUKUS的质疑,,502,历史,澳大利亚 新喀里多尼亚 法国 马绍尔群岛,新喀里多尼亚 澳大利亚 马普 太平洋 岛国 ,AUKUS安全协议 法国-澳大利亚战略伙伴关系 太平洋岛国论坛 2050年蓝色太平洋大陆战略,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228790&idx=1&sn=770271a8a482cf243e3be1203f266949&chksm=bef6d8c0898151d69b9b147990eb7e3489432731e1c3f0b9d1daef922cbf75389f4f5c5a728b#rd,1682582037
",2023.4.22
26,通过！库克群岛新法取消同性恋定罪,【南太之声编译报道】库克群岛议会14日废除了《犯罪法》中将同性恋定为犯罪的条款。库克群岛新闻网报道，《2023年犯罪（性犯罪）修正案法案》旨在取消同性恋定罪，该法案已提交给议会，并经过了二读和三读，最终通过成为法律。该法案修订了1969年的《犯罪法案》，其中规定男子与其他男子进行所谓的“不雅行为”可被判处五年监禁。根据第159条规定，在自己住处进行这些行为的人将面临最高10年的监禁。总理布朗（Mark Brown）告诉议会，这项修正案“将近60年前通过的法律带入21世纪，删除了不再适合当今时代的法律语言”。他指出，“世界上的每个国家，在某个阶段，都不得不处理这个问题，即取消将人定罪的歧视性法律，我们的国家也不例外。”他强调，“我们是一个充满爱和尊重的民族。今天，我们在做立法者的工作。我们废除了一项具有歧视性和不公正的法律，它违背了我们的宪法和我们作为一个国家的价值观。我们做的是正确和正义的事。我们在保护我们的民众。”修正案还为强奸受害者提供更多保护。,,431,历史,库克群岛,法律 犯罪 法案 通过 库克 ,联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228732&idx=1&sn=41e1496786c07ff37714ce6235a5a0e2&chksm=bef6d88a8981519c9695aeea5533d54239c51ab0cd7c0990a60100b5fde1a537953e6babab37#rd,1682238006
",2023.4.19
27,“澳大利亚的行为让战争离家更近”太平洋岛国前领导人谴责AUKUS协议,【南太之声编译报道】一些太平洋岛国前领导人近日谴责AUKUS安全协议，称其“将战争带到了离家更近的地方”，违背了“蓝色太平洋”的承诺。“澳大利亚正在引发一场军备竞赛，使战争离家更近”新西兰RNZ12日报道，根据澳大利亚、美国和英国之间签署的这项协议，澳大利亚将在未来30年内斥资数十亿元（新西兰元，下同）购买一支核潜艇舰队。包括基里巴斯、马绍尔群岛、图瓦卢和帕劳前领导人在内的“太平洋长者之声”(Pacific Elders’Voice）强烈批评该协议，称澳大利亚故意利用太平洋无核协议《拉罗汤加条约》(Rarotonga Treaty)中有关允许潜艇等核动力船只过境的漏洞。“太平洋长者之声”在一份声明中表示:“AUKUS标志着更大的军事化，它使澳大利亚加入了美国在北太平洋的军事基地网络，并正在引发一场军备竞赛，使战争离家更近。”声明继续指出，“这不仅违背了所有（太平洋岛屿）论坛成员国去年一致同意的蓝色太平洋宣言的精神，还表明他们完全没有认识到气候变化带来的安全威胁，而这一点已经体现在《波伊宣言》和其他宣言中。”该组织表示，承诺向AUKUS提供的“惊人”资金“与太平洋岛屿国家（的关切）背道而驰，他们一直呼吁资助应对气候变化“。“事实上，这一数字中甚至没有一个重要的部分可供本地区应对最大的安全威胁，这表明堪培拉、伦敦、巴黎和华盛顿对这一关键的太平洋优先事项完全缺乏敏感性。”他们还对新西兰加入这项三边安全协议的雄心表示担忧，称论坛应阻止新西兰加入“军事联盟”。“威胁太平洋安全的是气候变化，而不是中国”“太平洋长者之声”的发言人之一、基里巴斯前总统艾诺特·汤（Anote Tong）说，澳大利亚作为论坛的创始成员国，准备为军事扩张主义承诺30多亿元，这令人失望。“在太平洋地区，我们一直明确表示，对安全的最大挑战是气候变化。它一直处于议程的首位。我们明白，AUKUS的优先事项与我们的优先事项不同，但至少我们在该地区也有关于核问题的现有安排。”汤说，在安全问题上，澳大利亚更关心地缘政治。但对太平洋岛屿来说，“气候变化才是威胁我们未来生存的最大威胁。这（个威胁）不来自于中国，也不是世界另一端正在发生的事情。”这位前基里巴斯领导人表示，澳大利亚政府最近试图向地区领导人保证，AUKUS不会违反《拉罗汤加协议》，这表明澳大利亚方面缺乏协商。汤表示，澳大利亚需要“作为太平洋大家庭的一部分行动”。他说，任何时候做出像AUKUS这样的重大决定，都必须征求所有太平洋国家的意见。,,1040,历史,澳大利亚 美国 英国 基里巴斯 马绍尔群岛 图瓦卢 帕劳 新西兰 中国,太平洋 澳大利亚 AUKUS 协议 安全 ,联合国 拉罗汤加条约 太平洋长者之声 蓝色太平洋宣言 AUKUS安全协议 波伊宣言 亚太论坛,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228732&idx=3&sn=752fddc697c90eaafe9bea8b1874b249&chksm=bef6d88a8981519cb5778b4265fd5fcac37160166ccadac760599972d87e4068a4fa3451e805#rd,1682238006
",2023.4.19
28,今年年中就能敲定 又一太平洋岛国要与美国建交,【南太之声编译报道】库克群岛近日离与美国建立正式外交关系又近了一步。库克群岛新闻网12日报道，库克群岛总理布朗（Mark Brown）近日访问了华盛顿特区，并会见了美国副国务卿舍曼（Wendy Sherman）。布朗表示，一切进展顺利。布朗指出，“我们与美国国务院进行了非常好的讨论。这实际上只是在敲定最后的法律细节，希望我们能在今年年中与美国建立正式的外交关系。”他表示，“这意味着美国将成为第58个与我们建立正式外交关系的国家。这也意味着我们将有一种直接的关系，当涉及到贸易问题时，我们可以围绕这种关系进行建设，并可能在美国有一个正式的外交机构。”布朗表示，双方的讨论也建立在去年9月美国总统拜登（Joe Biden）在华盛顿主持的具有历史意义的美国-太平洋领导人峰会期间的交流基础上。今年晚些时候，库克群岛将主办太平洋岛国论坛。布朗还参加了在华盛顿举行的SAFE峰会，推动了库克群岛海底矿产勘探的项目。“这次会议是一个机会，可以听取美国工业界和美国政府主要官员关于战略金属对美国现行减少碳排放政策重要性的说法。”布朗还会见了美国副国家安全顾问芬纳（Jon Finer）、美国国家安全委员会印太事务协调员坎贝尔（Kurt Campbell）和负责经济增长和环境事务的副国务卿费尔南德斯（Jose Fernandez）。,,561,历史,美国 库克群岛,美国 布朗 库克 群岛 关系 ,答美国国务院 美国-太平洋领导人峰会 SAFE峰会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228732&idx=4&sn=277c3e4eccefe9004fdb085fe5640e3a&chksm=bef6d88a8981519cb36a0626a75b5ef5cf0a6cf77f46fd98707764516149a539f35a42a10af2#rd,1682238006
",2023.4.17
29,名单敲定 萨摩亚总理率团赴美属萨摩亚开会,【南太之声编译报道】萨摩亚总理马塔阿法（Fiame Naomi Mata'afa）近日将率萨摩亚代表团参加本周在美属萨摩亚举行的Atoa o Samoa会议。萨摩亚观察者网12日报道，萨摩亚内阁在5日的会议上确定并批准了将前往美属萨摩亚一年两次会议的最终代表名单。在上周回答媒体提问时，马塔阿法证实，美属萨摩亚政府邀请萨摩亚政府参加国旗日纪念活动。马塔阿法说:“我们目前的政策是，国家元首和总理可以前往参加美属萨摩亚的国旗日纪念活动。然而，我认为更方便的是，如果国家元首能够代表萨摩亚政府出席，那么总理就不必同行了。”她继续指出，“据我所知，国家元首此前在斐济履行过他作为地区大学校长的职责，我们将与他讨论其是否能够前往美属萨摩亚参加国旗日庆祝活动。”去年，两国政府领导人同意每年举行两次Atoa o Samoa会议。两国政府上一次会晤是在2022年10月，萨摩亚在首都阿皮亚接待了来自美属萨摩亚的代表团。双方达成的谅解备忘录认识到美属萨摩亚和萨摩亚之间建立在共同历史、文化、语言、社会和家庭纽带基础上的重要和持久的关系。会议还考虑了两国的共同目标，即“促进经济发展和合作，为社会进步获得更充分的机会，寻求可持续发展的措施，加强善治和安全”。双方还同意成立一个由两国所有相关部门或政府机构负责人组成的“官员联合工作组”，由萨摩亚外交和贸易部首席执行官和美属萨摩亚总督办公室主任共同担任主席。,,595,历史,萨摩亚 美属萨摩亚 ,萨摩亚 美属萨摩亚 政府 会议 总理 ,AtoaoSamoa,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228732&idx=5&sn=f893fc10532a23dd592d8eb32e334a0b&chksm=bef6d88a8981519cc0339ffd0184af020d69620121d4632f6f67a7003111b37306ab3a82e825#rd,1682238006
",2023.4.16
31,复活节后继续停电 巴新电力公司称是技术问题 或限制用电,【南太之声编译报道】在Kanudi发电站发现的“技术问题”得到解决之前，巴布亚新几内亚莫尔兹比港将继续遭遇电力供应中断。巴新《国民报》11日报道，在被问及是什么原因导致莫尔兹比港频繁停电时，巴新电力公司发言人表示，正在计划用电限制。该发言人补充说:“我们的团队一直在努力解决这个问题，一旦解决，用电限制将停止。”他说:“我们希望在本周末之前解决完毕。但如有任何变化，我们会及时通知。请注意，用电限制计划只是一个方向，可能会因运营需求而改变。”巴新电力公司没有详细说明该电站面临的问题。频繁的停电不仅给居民带来了困扰，更重要的是，上周至少有两天给该市的企业带来了麻烦。由于该市糟糕的排水系统，许多人最近还受到了洪水的影响，许多房屋遭到了破坏。与此同时，Gerehu Stage One的一名居民表示，5日，该地区一些家庭的电力供应中断。6日全天停电。（在）打了无数次电话后，工作人员说会在当天处理好。“我们再次打电话，他们说是变压器的问题，他们没有库存。所以我们不得不等到下个周末，（因为）这个周末无法进行任何工作。”巴新电力公司后来解释说，由于变压器故障，Gerehu一期的电力供应被切断了三天。目前变压器已被更换，电力供应已于9日恢复。此外，由于Mumum发电站和Ramu电网故障，莱城莫罗贝港口在复活节周末也遭遇了停电。,,562,历史,巴布亚新几内亚,电力 停电 巴新 问题 公司 ,巴新电力公司,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=1&sn=9b829fd5783c552d25bb5ddad609dc59&chksm=bef6d89789815181c31f680e9a2594ab62aa512ae01651e8b1260ca04fcecbbb01690c8e8daa#rd,1682037570
",2023.4.14
32,为孩子们的未来而战 瓦国外长将气候问题提交至“世界最高法院”,【南太之声编译报道】瓦努阿图外长纳帕特（Jotham Napat）近日说，将气候变化问题提交到“世界最高法院”是为瓦努阿图儿童和他们的未来而战。《瓦国日报》11日报道，气候变化威胁着世界上每一个儿童和青少年的未来。尽管瓦努阿图容易受到气候变化的影响，对全球排放的贡献也最少，却是全球气候行动的倡导者。纳帕特强调，虽然人类今天感觉舒适，但联合国政府间气候变化专门委员会（IPCC）的最新报告警告称，预计到2040年，全球气温或升高1.5摄氏度。他说：“我们的斗争是为了我们的孩子和他们的未来。如果政府不主动采取措施，孩子们的权利会被剥夺。由瓦努阿图牵头的气候正义决议以协商一致的方式获得通过，将被写入联合国和瓦努阿图的历史书中。”从学生到青年，从政府工作人员到民间和私营部门的工作人员，包括公众在内的一大群人都参加了游行，庆祝瓦努阿图在联合国大会上成功通过了这项决议。纳帕特说，通过决议只是一个开始。他感谢来自澳大利亚、新西兰、法国、日本、英国和中国的外交代表，感谢他们政府的支持。“未来的道路将是困难的，更多的灾难将会发生。但我们很高兴许多国家与我们站在一起，把可持续发展放在首位。”,,492,历史,澳大利亚 新西兰 法国 日本 英国 中国 瓦努阿图,气候 瓦努阿图 未来 变化 政府 ,联合国政府间气候变化专门委员会（IPCC）,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=2&sn=b3ca4ffdd2b06a726a307c2e0bd727ba&chksm=bef6d89789815181d125e2115b6e88269d1a4d5ee394f928dbefd7ca6bd7e0314e9c1f496010#rd,1682037570
",2023.4.14
33,太平洋岛国担心安全问题 日本核污水排放问题再引讨论,【南太之声编译报道】巴特莱特（Chris Bartlett）是澳大利亚360INFO网的副主编，他近日发表署名文章，就全球公众关注的日本排放核污水事件进行分析。文章摘编如下：日本计划从受损的福岛反应堆向海洋排放经过处理的放射性污水，这一计划得到了支持，但却在太平洋地区引起了涟漪。在接下来的几个月里，来自日本福岛核反应堆的100多万吨经过处理的放射性水将被排入太平洋。日本内阁官房长官松野博一（Hirokazu Matsuno）今年1月表示:“预计将在今年春天或夏天的某个时候进行排放。”负责运营该项目的东京电力公司和2021年宣布排放计划的日本政府表示，经过先进液体处理系统（ALPS）去除最有害放射性同位素的水是安全的。国际原子能机构支持这些说法，测试表明处理后的水完全符合全球安全标准。但并非所有人都信服。一些环保人士认为需要进行更多的研究。太平洋岛国仍在与上世纪核武器试验的遗留问题作斗争，他们担心自己将受到最严重的打击。邻国也对此表示担忧。当地渔民花了10年时间恢复生计，他们担心客户会因为担心污染而拒绝接受他们捕捞的鱼类。专家怎么说？夏威夷大学的里士满（Bob Richmond）作为太平洋岛国论坛专家组的成员，于2月访问了福岛，他说有一个潜在的解决方案被忽视了。“（在访问期间）很明显，需要使用大量混凝土来扩大海堤，稳定大量受污染的土壤，并加固现有的冰屏障，以减少地下水流向受损的反应堆。”自事故发生以来，英国开放大学的马邦（Leslie Mabon）已经访问了福岛十多次。他说，一个尚未解决的问题是，在影响福岛渔业社区的决定方面没有与渔民协商。“尽管（渔民们）在这些水域的视线范围内捕鱼，但每当东京电力公司或日本政府就他们对这片水域管理计划的下一步做出决定时，福岛的渔民们都觉得他们是最后一个知道的。”“如果要让渔民感到受重视和尊重，任何补偿或对策都应该认识到，捕鱼不仅仅是渔民的收入来源。这是一种完整的生活方式，也是渔民和福岛沿海社区身份和自豪感的一个重要标志。”奥克兰大学的切克（David Krofcheck）说。“在试图理解日本作出的并得到国际原子能机构支持的选择时，除了出于对福岛当地渔民的同情，没有人愿意向海洋中增加额外的辐射。”中国大连海事大学航运经济与管理学院的王明（Ming Wang，音译）表示，公众对海洋生物受污染的担忧可能会影响全球海鲜市场。“人们的想法与每个国家进口日本海鲜的数量密切相关。某个国家进口的日本海产品越多，公众的负面舆论就可能越强烈。”,,1046,历史,日本 澳大利亚 太平洋岛国 英国 中国,日本 福岛 渔民 太平洋 排放 ,国际原子能机构 太平洋岛国论坛 联合国,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=3&sn=3e2143451cc9c42678f00702635e2b8e&chksm=bef6d897898151811a6e04d49f6676df96a554481407d4446f76c26c02e3d3f4eb5c12a8dfcf#rd,1682037570
",2023.4.14
34,2000万澳元！澳大利亚向该岛国许下承诺,【南太之声编译报道】澳大利亚政府13日宣布，他们将承诺向萨摩亚提供2000万澳元（约合1300万美元）的额外预算支持。澳大利亚天空新闻网报道，澳国际发展部长康罗伊（Pat Conroy）表示，工党将向养老金领取者和残疾人提供这一财政支持，因为澳大利亚是萨摩亚的“首选合作伙伴”。康罗伊感谢萨摩亚总理在该地区发挥的有力领导，并重申澳大利亚共同致力于建设一个更强大、更有凝聚力和复原力的太平洋。康罗伊指出，在与萨摩亚财长莫里欧（Mulipola Anarosa Ale Molio'o）的会晤中，讨论了萨摩亚和澳大利亚如何共同努力，支持萨摩亚的发展优先事项以实现一个更有弹性的未来。两位部长共同宣布了2000万澳元的预算支持，以及一项为期八年的新伙伴关系，重点关注萨摩亚的经济增长和治理优先事项。康罗伊还补充说:“这一新伙伴关系，‘即Tautai-经济增长治理’，将支持萨摩亚从疫情中恢复经济，共同实施改善萨摩亚人生计的项目。”新伙伴关系是澳大利亚外长、参议员黄英贤（Penny Wong）在2022年6月访问萨摩亚期间宣布的为期八年的“Tautai-人人享有人类发展”伙伴关系的补充。康罗伊和莫里欧共同签署了两国伙伴关系的行政安排。在访问的最后一天（4月13日），康罗伊重点讨论萨摩亚和澳大利亚之间的安全和民众之间的联系，包括在治安和海上安全方面的伙伴关系，以及体育方面的合作。,,588,历史,澳大利亚 萨摩亚,萨摩亚 澳大利亚 伙伴 康罗伊 关系 ,联合国 亚太计划 Tautai-经济增长治理 Tautai-人人享有人类发展,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=4&sn=681846802ac53e1ccccdb953140131c3&chksm=bef6d89789815181685bbd2fac153bdfa4500e06cfbd5bf7c4f9bd9d76e6834d31d819cdd478#rd,1682037570
",2023.4.12
35,所国2023首次议会会议时间确定,【南太之声编译报道】人们期待已久的所罗门群岛议会会议现已确定在下周举行。9日，国民议会办公室在总理内阁办公室的支持下宣布了这一消息。《所罗门星报》11日报道，议会下周将正式开始2023年第一次会议。国民议会办公室在一份声明中确认，第一个开会日为4月17日。当地时间9日晚上，国民议会秘书库斯利夫（David Kusilifu）发表了题为“议会会议开始通知”的声明。声明称:“索加瓦雷（Manasseh Sogavare）总理阁下已安排下一次议会会议于2023年4月17日星期一召开。”据悉，第十一届议会的第五次会议于2022年12月19日无限期休会。今年的会议预计将讨论若干法案。据悉，议会议长奥蒂（Patteson J.Oti）此前在休会前致闭幕词时强调，在第五次会议期间，议会举行了48天的全体会议，在此期间会议：?众议院提出并通过了6项法案，其中4项是与拨款相关的法案；?在此期间共提交了38份议会文件；?11项动议提上日程；?提出并回答30个问题。总理去年也曾表示，鉴于今年即将举行的太平洋运动会，以及明年初的全国大选，有许多问题需要解决，因此议会将尽快恢复。,,484,历史,所罗门群岛,议会 会议 举行 国民 办公室 ,所罗门群岛议会,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=5&sn=bee518357de5d20d2c2944a85ea51f55&chksm=bef6d89789815181f91a07c9cfe851a2ec249e2e5df34003bbef9cabe568755e1a844e2fac2c#rd,1682037570
",2023.4.12
36,法属波利尼西亚选举投票即将开始 谁有可能获胜？,【南太之声编译报道】法属波利尼西亚领土选举的竞选活动近日已进入最后一周。新西兰RNZ网站11日报道，几个政党的支持者身着代表各自政党的颜色，在帕皮提周末市场举行了小型集会。在4月16日和4月30日的两轮投票中，选民将选出一届由57名成员组成的新议会，任期五年。共有7名候选人参加选举。根据2011年引入的比例选举制，一名候选人需要至少获得12.5%的选票才能进入第二轮。在第二轮投票中赢得多数票的名单候选人将额外获得三分之一的席位作为奖励。剩下的三分之二将根据名单的相对实力进行分配。观察人士说，只有执政的人民名单党（Tapura Huiraatira）和支持独立的人民公仆党（Tavini Huiraatira）有机会获胜，因为他们在各个群岛都有势力。法属波利尼西亚选民上一次投票是在2018年。人民名单党领袖弗里奇（Edouard Fritch）自2014年以来一直担任该地区的最高职位。,,396,历史,新西兰 法属波利尼西亚,选举 投票 名单 法属波利尼西亚 候选人 ,,"http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649228705&idx=6&sn=266620aefa3fb6ccb425e0edf0553852&chksm=bef6d897898151814a10a87f815ead4ad1570358e9f0b11079dafa74d90663cef5c7d0417144#rd,1682037570
",2023.4.10
