,Title,Context,Length,Category,Countries mentioned,Top5-Hot-Words,Organizations,Release Date,Unnamed: 0,URL
312,去趟美国花了两百多万？所总理秘书：这笔钱花得值,所罗门群岛政府近日坚持认为，总理代表团出席最近在纽约举行的联合国大会所产生的250万所罗门群岛元（约合30.65万美元）的账单是值得的。太平洋岛屿新闻协会网20日援引所罗门群岛《所罗门星报》报道，总理秘书罗杰斯（Jimmy Rodgers）在有关总理代表团成员住宿费用的进一步细节作出了这一表态。他在19日的新闻发布会上对当地媒体表示，“从政府的角度来看，这次访问是值得的，因为我们把所有议程都提到了全球层面。”他说：“就个人关系和与美国和澳大利亚的协调而言，这是第一次。总理已经会见了美国总统和澳大利亚总理，同时还有一些人际关系是我们需要跟进的，因此这（笔花销）是值得的。”美国外交事务常任秘书贝克（Collin Beck）也表示:“与此次访问的收益相比，此行的费用并不多。”他解释说：“有一些政府首脑必须参加的强制性活动。其中之一是太平洋岛国论坛（Pacific Islands Forums）会议。第二是美拉尼西亚先锋集团（Melanesia Spearhead Group）会议。在全球层面，联合国大会是世界领导人每年聚集的地方，总理也经常出席。”此外，他表示，在最近的联合国大会上，有190多个国家参加，他们建立了合作，寻求和平，并讨论了在全球问题上的相互理解。（周晓编译）,542,旅游,所罗门群岛 美国 澳大利亚 太平洋岛国 美拉尼西亚 ,总理 美国 所罗门 群岛 政府 ,联合国大会 太平洋岛国论坛 美拉尼西亚先锋集团,2022.10.23,403,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226767&idx=1&sn=c29d7c20218b0678447ba1755a40847e&chksm=bef92339898eaa2f566104f3bdc1f6981d819e294a70fa612c27d1e357209c0c16400cac80a6#rd
319,打造全球游客的梦想之地 瓦国首场徒步探险活动来啦！,瓦努阿图旅游局（VTO）与旅游部（DoT）、旅游、贸易、商业和尼-瓦努阿图商务部（MTTCNB）近日开展合作，特别是在位于奥巴岛（Ambae Island）北部的安班加村（Ambanga Village）社区，宣布启动有史以来第一次2022年大马纳罗（Grand Manaro）徒步旅行。瓦努阿图《瓦国日报》22日报道，共有20多名参与者和十几名官员前往隆阿纳（Longana），启动开始并参与了为期两天的马纳罗火山徒步旅行活动。MTTCNB代理部长布莱（James Blue）宣布启动这次徒步旅行，他表示:“这是安班加村的一个历史里程碑。从21世纪初到今天，我们一直在讨论这个项目，今天我们终于迎来了大家期待已久的时刻。大马纳罗徒步旅行将成为一项年度活动。”旅游部代理主任塔里（Geraldine Tari）说:“像大马纳罗徒步旅行这样的冒险和体育活动是政府关注到我们偏远社区的一个好机会，为我们带来发展，并重新点燃（本地民众）对好客、友好和本地招待的热情，这已经渗透在瓦努阿图的文化中。随着边境关闭，我国的旅游市场正在迅速建立自己的兴趣和需求，比如这次旅行，很快就会成为许多人的梦想清单。”根据VTO的说法，这项活动能给奥巴岛人民带来巨大的长期利益，随着2022年首场活动的举办，将提高2023年该活动的国际知名度和（参与这项活动的游客）需求。瓦努阿图拥有火山、海岸线、丛林、瀑布、洞穴、潜水点、风俗和传统以及丰富的有机食品，与附近的探险旅游目的地相比具有天然的比较优势，是太平洋地区领先的探险旅游目的地。（周晓编译）,661,旅游,瓦努阿图 奥巴岛 尼-瓦努阿图,活动 徒步 旅行 瓦努阿图 旅游 ,瓦努阿图旅游局（VTO） 旅游部（DoT） 旅游 贸易 商业和尼-瓦努阿图商务部（MTTCNB） 联合国 亚太计划,2022.10.22,410,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226767&idx=8&sn=07f876dff1b9127b11064d7f346fdefb&chksm=bef92339898eaa2ff01292ff68a1a18510c6ba66cde4bdae076eba706cb95d6629cb57dc6c37#rd
320,【快讯】2022年10月27日斐济无新增新冠确诊病例,今日共12名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例64个，共记录了68264个病例，其中66323人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68194。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年10月26日，斐济共有95.4%的成人（59.0万人）完全接种了疫苗，104.1%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32483名完全接种了疫苗，39061名完成了第一针疫苗的接种。12至14岁的儿童共有17143名完全接种了疫苗,370,旅游,Not mentioned,病例 疫苗 接种 确诊 共有 ,,2022.10.20,411,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226766&idx=1&sn=de9cd0ffa1048c662bdb1bbdbbe62d9c&chksm=bef92338898eaa2e16446b9fea92a578e3acdec9477034155a3a8e96ca125116af2d2465a461#rd
321,中国警务合作小组与所罗门群岛警察参观“双赢”公司,所罗门群岛皇家警察部队（RSIPF）高级官员近日在中国警务顾问组（CPLT）的陪同下，访问了位于瓜达尔卡纳尔岛（Guadalcanal）中部图拉拉纳村（Turarana villiage）的双赢矿业公司（Win Win mining company）。美国Newswires网17日援引所罗门群岛政府官网报道，此次参观是RSIPF参与社区活动的一部分，是犯罪预防战略中所规定的。在实地考察期间，RSIPF的高级官员走访了矿区，并讨论了公司和当地环境的安全和安保问题。通过与公司高层的沟通后，RSIPF高级官员了解到，双赢矿业公司积极帮助当地居民，包括提供医疗援助、丧葬援助、道路建设、赞助教堂、资助学校用品，公司还计划提供设备，为当地土地所有者建造砖厂作为长期业务。会上，双赢矿业公司老板石丹（Shi Dan，音译）对2020年RSIPF打击抢劫犯罪的支持表示高度赞扬，并且还派出了人员维护矿区的安全和治安。石丹说，有了良好的安全保障，一直到今年，公司已经向政府支付了500万所罗门群岛元的特许权使用费，并与当地的土地所有者分享了部分额外的费用。在CPLT组长张广保（Zhang Guangbao）的带领下，协调并促成了园区高级官员对双赢采矿公司的实地考察。张广保鼓励公司继续坚持“双赢”的原则，确保所罗门群岛政府、省政府、当地土地所有者、当地社区和公司都能从采矿项目中受益。（周晓编译）,594,旅游,中国 所罗门群岛 美国,公司 双赢 当地 所罗门 群岛 ,中国警务顾问组（CPLT）,2022.10.18,413,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226723&idx=1&sn=66c14551834c43c5d102248829a588bf&chksm=bef920d5898ea9c3b18d74a9ec415434931e1697fde9efb38516fda734399f198addcab40ad6#rd
326,凭CI文件 瓦努阿图为旅客申请入境澳大利亚及法属领地,瓦努阿图移民服务机构（VIS）护照经理威利（Stephen Willie）近日证实，正在通过身份证件（CI）文件，为计划前往澳大利亚及太平洋地区法属领地的在瓦旅客进行安排。瓦努阿图《瓦国日报》10月15日报道，这一安排是为了那些希望获取前往澳洲旅行的新护照的客户、本地及已入籍公民而准备的。他们正面临着航班推迟的问题。威利说，他们已经在和澳大利亚官员协商，并得到了他们的批准，只是还需要最后的纸上签字（流程）。目前，没有护照的新季节性劳工只能凭CI前往新西兰，而不是澳大利亚。这也适用于本地和已入籍公民（特别是新生儿）。关于这个问题有很多担忧，一些入籍公民将他们的旅行日期推迟到今年年底，以等待新护照的发放。根据移民和护照服务部主任马克森（Jeffrey Markson）的说法，预计新的护照本将于今年年底发行。威利说：“自2009年以来，瓦努阿图一直在签发CI文件。在过去，CI文件只是一张纸，不过目前，护照办公室正在发放CI表格供旅行者填写。它有批准旅行者信息的额外功能。”目前，新西兰和其他太平洋国家已经允许入境旅客出示CI文件，除了澳大利亚和法属领土。威利表示，与法属领土的谈判是通过外交办公室进行的，现在正在等待他们的答复。“来自澳大利亚和法属领土的旅客可以持CI前往瓦努阿图，反之却不行。”威利还提到，和劳工处也有类似的安排，包括季节性工人前往澳大利亚的旅行安排。”（萨琳编译）,595,旅游,瓦努阿图 澳大利亚 新西兰 太平洋地区法属领地 澳洲,CI 澳大利亚 护照 文件 瓦努阿图 ,瓦努阿图移民服务机构（VIS）,2022.10.17,419,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226696&idx=3&sn=2723aa36091b2fdb9056b75342c71b1f&chksm=bef920fe898ea9e87bda3af2d4265cf8e6a9702b47c6196a1077aae6bce60903555c3e53ad75#rd
327,所罗门政府：不会限制赴海外工作的劳工人数,所罗门群岛政府近日表示，不会限制那些希望通过季节性流动劳动力项目赴海外工作的本地劳工人数。所罗门群岛《所罗门星报》10月17日报道，在一场新闻发布会上，有记者提问，一些太平洋岛国正在计划限制赴海外工作的劳工人数，所罗门群岛外交外贸部（MFEAT）常任秘书长贝克（Collin Beck）阐明政府立场：“我们不会对此设限。（太平洋）地区的每个国家情况不一样。既然有机会，我们会继续抓住并利用好。我们一直确保那些求职者能够找到机会。所以，不会影响到这些。”贝克还表示，“我们也不会歧视任何申请者，也不会按照毕业生、行业、领域进行区分。只要雇主选中了他们，我们就会继续将他们派遣过去。”据了解，目前有近4000名所罗门本地人在海外工作，政府希望明年这一数字能够达到1万。（萨琳编译）,338,旅游,所罗门群岛 太平洋岛国,所罗门 政府 海外 工作 限制 ,所罗门群岛,2022.10.17,420,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226696&idx=4&sn=6e032982850ea61dbcde1725d840914f&chksm=bef920fe898ea9e855fc3f2d62e7b5c1e0fe58506fe49d414436ee3666796e2a33b85a4f2cf4#rd
331,【快讯】2022年10月20日斐济新增3例新冠确诊病例,今日共4名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例72个，共记录了68257个病例，其中66311人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68187。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年10月20日，斐济共有95.4%的成人（59.0万人）完全接种了疫苗，104.1%（原文数据）的成人（64.4万人）完成了第一针疫苗的接种。15至17岁的儿童共有32473名完全接种了疫苗，39053名完成了第一针疫苗的接种。12至14岁的儿童共有17084名完全接种了疫苗,369,旅游,Not mentioned,病例 疫苗 接种 确诊 共有 ,WHO（世界卫生组织）,2022.10.16,425,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226695&idx=1&sn=33fe0bede9c93ca625e0321d1ca54f13&chksm=bef920f1898ea9e7c2ce1468179d8599374d642cce0c55e1cf5febad36a60e7c04c7876f9cb9#rd
332,镜头里的真实斐济什么样？看看华人Vlogger记录的斐济之旅,知名澳洲华人航空视频博主崔佳星（Sam Chui）近日在视频平台YouTube上发布了自己的最新视频日志，记录了他在斐济旅行的大部分经历。目前这条旅游视频已经获得超14万点击量，不少观众留言：“感谢Sam让我看到了一个精彩绝伦的真实斐济。”知名视频博主点赞斐济航空：“商务舱很棒，还有氛围灯和音乐”《斐济时报》19日报道，航空和旅游视频博主崔佳星曾编写过4本关于航空旅行的书，他在Vlog中点评了斐济航空公司的空客A350-900。尽管对飞机上提供的餐食持有一些保留意见，但崔佳星对这次旅行的总体评价是积极的。“商务舱非常棒，每个座位都有独立的双层座椅，每个座位旁都有过道。我认为斐济航空公司的商务舱座位可能比我这次在南太平洋乘坐过的其他航空公司更好。”他继续总结说:“根据我的经验，斐济航空公司在新品牌（推广）方面做得很好，采用新A350飞机将自己定位为高级度假航空公司。机组人员在提供服务时的冷静和友好给我留下了深刻的印象。我在斐济航空公司度过了一次非常放松的飞行。与此同时，机上的灯光和海岛音乐也让我感到非常放松，令完美的假期有了一个好的开始。”图为崔佳星体验斐济航空。（图/Youtube视频截图）据了解，在2015年太平洋航空更名为斐济航空前，崔佳星曾乘坐过一次悉尼至楠迪的相同航线。那一次在2010年对B747-400的评价也基本上是积极的，表明（该航空公司）的质量保持一贯稳定。而A350是斐济航空在新冠肺炎疫情暴发前不久购买的，直到近日边境重新开放，才开始执飞国际航线。镜头记录真实斐济：“真正想让我留在这里的是斐济人”FBC网报道，崔佳星还去到了萨武萨武（Savusavu），并在楠迪的国内出发大厅与前总统孔罗特少将（Jioji Konrote）合影。图为崔佳星（右）与前总统孔罗特少将（左）合影。（图/Youtube视频截图）? ? ? ?期间，他还参加了一次河流探险之旅，并和其他游客一起参观了西加托卡河（Sigatoka River）沿岸的一些村庄。位于楠迪的斐济航空航天学院（Fiji Airways Aviation Academy）也是他的旅行目的地。崔佳星说尽管此次旅行十分短暂，但非常甜蜜。虽然是飞机把他带到了斐济，但真正让他想要回来待更久的是这里的人。网民留言：“斐济太神奇了，看过视频后想马上就去”自当日崔佳星分享的斐济之行视频上线以来，已经有超过14万的点击量，但热度仍然不减。他本人在YouTube上有313万订阅者。而这条视频更是让他的粉丝惊呼：“原来斐济这么美”“斐济人民也太热情，太友好了吧！”图为视频下方的网民留言。（图/Youtube截图）编辑：周晓,1101,旅游,澳大利亚  南太平洋 悉尼 楠迪 萨武萨武,航空 视频 佳星 公司 旅行 ,斐济航空 斐济航空航天学院 太平洋航空 空客A350-900 联合国 亚太计划,2022.10.15,426,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226690&idx=1&sn=79de08ac807b08940b103272730aabfc&chksm=bef920f4898ea9e2eb724c3b6a8989d51ccc9964e4e1eea733f53c38951d51945adc3af65f74#rd
341,首次到瓦努阿图个人演出的澳大利亚原住民艺术家：和岛国有渊源,瓦努阿图《瓦国日报》10月7日刊登文章，介绍了首次以个人身份到瓦努阿图参加2022 Fest’Napuan节表演的澳大利亚原住民艺术家利昂（Fred Leone）。全文摘编如下：利昂是澳大利亚一位受人尊敬的社区领袖。他和家人来自Garawa和Butchulla部落（分别在北领地和昆士兰K’gari岛)。通过他的南海岛民血统，利昂与瓦努阿图的Tannese社区有联系。利昂的曾祖父来自塔纳岛（Tanna），因此Tanna成为了他家族的姓氏。他的曾曾祖父来自所罗门群岛吉拉岛（Gela）。利昂是语言保管组织Butchulla Songmen成员之一，也是一位开创性的获奖艺术家，他跨越流派和媒介，为他的表演和录音带来独特的原创声音。他也是昆士兰第一家由澳大利亚原住民拥有并运营的唱片公司Impossible Odds Records的创始人。2013年，利昂曾作为Singaot Musik Kamp的一员在Fest’napuan演出，2022年，他将以个人艺术家的身份登上舞台。利昂说:“能够在Fest’napuan表演对我来说意义重大，因为我和Tanna的家族关系。我迫不及待地想和维拉港（Port Vila）以及来自整个瓦努阿图和太平洋各地的观众分享我的故事和音乐。”他曾作为特色艺术家与国际知名的Black Arm乐队在加拿大、中国、马来西亚、巴西、英国和澳大利亚巡回演出，并在英国展出个人作品。瓦努阿图维拉港的萨拉拉纳公园（Saralana Park）将是利昂在太平洋（岛国）的首次演出地点。除了他的艺术产出和身为Butchulla Songman的责任，利昂是澳大利亚主要的艺术工作者和原住民权利的不懈倡导者之一。他是澳大利亚现场音乐商业委员会的董事会成员，也是国家原住民音乐奖原住民咨询小组的现任成员。利昂已于10月6日抵达瓦努阿图，同行的还有他的经纪人维扎（Jordan Verzar）。澳大利亚驻瓦努阿图高级专员公署正在支持利昂参加2022Fest’Napuan节。（萨琳编译）,847,旅游,澳大利亚 北领地 昆士兰 塔纳岛 所罗门群岛 吉拉岛 加拿大 中国 马来西亚 巴西 英国 瓦努阿图,利昂 瓦努阿图 澳大利亚 原住民 艺术家 ,联合国 亚太计划 澳大利亚现场音乐商业委员会 国家原住民音乐奖原住民咨询小组,2022.10.12,438,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226614&idx=5&sn=9b6576ccc2e03834b0b22fc89ad5febb&chksm=bef92040898ea95668dfed821e0aa2d673f81870e2fecae705eaf386bebc9e9c866437a32587#rd
342,保护环境可持续发展 瓦努阿图Emua社区推出气候适应项目,位于瓦努阿图埃法特岛（Efate）北部的Emua社区近日推出了气候适应项目。瓦努阿图《瓦国日报》10月8日报道，该地区有一处前滩，附近的珊瑚礁在退潮时会暴露出来，并在很大程度上受到重大天气事件、气候变化和人类的影响。然而，为了可持续的环境、当地生态经济和不断增加的鱼类资源，仍有许多地方需要保护和种植自然资源。社区计划在瓦努阿图渔业、旅游、环境及前滩发展部的支持下，兴建一条潜水通道，结合珊瑚礁修复、海草种植、巨蚌苗圃及水下雕饰。此外，还将修建一条通往瞭望台的通道，清除入侵物种并种植本地植物。此外，Emua社区环境代表肯尼斯（Kenneth）还邀请INLOC国际组织就如何解决这些问题去熟悉社区，并进行磋商。该组织免费为社区提供了一些铲除棘冠海星的技术方面的基本培训。该社区目前正在寻求启动该项目的资金。（萨琳编译）,359,旅游,瓦努阿图,社区 环境 气候 项目 瓦努阿图 ,瓦努阿图渔业 旅游 环境及前滩发展部INLOC国际组织,2022.10.12,439,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226614&idx=6&sn=8539dc61bd22aa5fa8f7b9b6da51300b&chksm=bef92040898ea95637f6c3e8408c4076ee2c9a2cdd6f5cbc0187c67b5c121a41ea656c3be430#rd
347,欢迎旅客 瓦努阿图Manaro将被打造成徒步圣地,位于瓦努阿图Ambae岛上的Manaro火山原本是岛上民众的圣地，于10月迎来了第一批游客，将成为主要的旅游景点。瓦努阿图《瓦国日报》1日报道，在传统信仰中，Manaro火山和它的湖是人们死后灵魂居住的地方。它被认为是Ambae民众的“天堂”。North Ambae最高长官、前教育部长塞塞（Jacques Sese）说，正在准备把神圣的Manaro岛打造成Manaro徒步地，成为一个旅游目的地。塞塞表示，从Lombaha到Longana地区的80多人在Abanga地区参加了包括烹饪和待客在内的培训。一群人甚至去了火山口实地考察作为他们培训的一部分。上次火山喷发后，酋长们对人们前往火山口进行了限制，但现在他们给予了祝福，并欢迎将Manaro徒步地推广为旅游目的地。与此同时，Manaro徒步地旅行的组织者在过去的几个月里一直非常努力地工作，以吸引10月13日至17日到来的游客。对于幸运的游客来说，旅程将从Tahimamavi温泉的传统按摩、Lovonda Noibari民俗村、Charles Godden慢食手工艺节开始。,466,旅游,瓦努阿图,火山 游客 旅游 Manaro徒步 欢迎 ,答无,2022.10.8,448,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226539&idx=3&sn=e4e713782b85b982eb24ba426b698a8a&chksm=bef9201d898ea90baef3eda137cf3bccbfdbe4cb92afdedb981b9ae70f59437db46477628bce#rd
354,邀请国际艺术家参与 萨摩亚将举办艾伦阿洛艺术节,萨摩亚表演艺术和创意卓越机构（S.P.A.C.E）将于今年11月2日至5日举办艾伦阿洛艺术节（Allan Alo Arts Festival），届时将有国际舞蹈团体和艺术家参加。萨摩亚观察者网站4日报道，艾伦阿洛艺术节是为了纪念已故艺术家、S.P.A.C.E创建者艾伦·阿洛的遗产并纪念其作为表演艺术先驱者不仅在萨摩亚，而且在整个地区和世界都产生了影响。去年，S.P.A.C.E成功举办了艾伦阿洛艺术节，但今年，他们扩大了演出范围，邀请了国际艺术家，与当地艺术家一起表演，庆祝萨摩亚的表演艺术。S.P.A.C.E联席总监洛德（Glenville Christopher Lord）表示，他们对今年的艺术节感到兴奋，因为它承诺将办得“更大、更好”。“我们很高兴地宣布，我们将拥有两家国际舞蹈公司，它们是夏威夷Samadhi和斐济MATA舞蹈公司。我们还很幸运地邀请到了参加今年音乐节的瓦亚拉（Vaiala）青年合唱团，他们将在演出期间表演。”但据洛德说，这还不是全部，今年的音乐节还将展示一些知名萨摩亚音乐大师艾泰（Tuilagi Dr.Igelese Ete）的曲目和音乐。他还透露，他们正在与萨摩亚旅游局合作，使今年的艺术节取得成功。活动具体安排如下：11月2日：新闻发布会之夜（主要面向赞助商和政府官员）11月3日：开幕之夜暨Bollywood之夜11月4日：Polywood之夜11月5日：闭幕之夜暨Hollywood之夜（萨琳编译）,620,旅游,萨摩亚 夏威夷 ,萨摩亚 艺术节 今年 艺术家 表演 ,S.P.A.C.E 联合国 亚太计划,2022.10.6,455,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226538&idx=7&sn=e0512d493cd588c820176a6cc21cc19f&chksm=bef9201c898ea90a0dc34ef29ddf4a3d42aaf004466041cf5b2e3f468d7ca8e24622e832a0aa#rd
366,萨摩亚全面开放边境 取消入境检测等防疫限制,【南太之声编译报道】据官方消息，对旅客的所有健康限制，包括强制性的新冠病毒检测已经取消，任何人都可以自由进入萨摩亚，从9月22日起生效。太平洋岛屿新闻协会网援引萨摩亚观察者网报道，代总理彭尼法西奥（Tuala Iosefo Ponifasio）在内阁每周会议审议和批准后宣布了这一消息。彭尼法西奥表示，21日的内阁会议决定取消萨摩亚政府当前旅行建议中的所有限制和相关条件，以允许全面开放边境。这包括取消进入萨摩亚时必须进行的PCR检测或快速抗原检测（RAT）。前往萨摩亚的旅客不再需要出示任何疫苗接种证明，到达法莱奥洛国际机场（Faleolo International Airport）或任何入境口岸时也不再需要进行任何检测。然而，彭尼法西奥建议，旅客仍然需要填写健康抵达卡，任何虚假申报行为将受到惩罚。他说：“我们仍鼓励市民遵守卫生守则，如佩戴口罩。”彭尼法西奥指出，在庆祝萨摩亚独立后，尽管前往萨摩亚的游客激增，但该国仍然安全，这都归因于高（疫苗）接种率。”他透露，在18岁及以上符合（接种）条件的人群中，有94%已经完全接种。12岁至17岁间的接种率达到93%，5岁至11岁达到92%。（周晓编译）,503,旅游,萨摩亚,萨摩亚 检测 任何 取消 彭尼法 ,联合国 亚太计划,2022.9.30,470,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226439&idx=5&sn=1055b631e990debe83fdbd77eb29315b&chksm=bef921f1898ea8e7f585456f3224367fef2e0798b1e3a774917558258414be986b05a5b8d03a#rd
370,【快讯】2022年9月29日斐济无新增新冠确诊病例,今日共12名患者康复，自2020年3月19日确诊首个病例以来，斐济现有活跃病例78个，共记录了68242个病例，其中66302人康复，878人死亡。2021年4月出现的新一波疫情产生病例达到68172。死亡病例中，876人死于今年4月开始的第二波疫情。公众可登录http://bit.ly/3vE2ZBb查看确诊病例详细位置和热力图。卫生部还开通了疫苗接种热力图网站，公众可以登陆http://bit.ly/3h2JfCZ了解实时、详细的疫苗接种情况。截至2022年9月28日，斐济共有95.3%的成人（58.9万人）完全接种了疫苗，104.1%（原文数据）的成人（64.3万人）完成了第一针疫苗的接种。15至17岁的儿童共有32441名完全接种了疫苗，39035名完成了第一针疫苗的接种。12至14岁的儿童共有16916名完全接种了疫苗,369,旅游,Not mentioned,病例 疫苗 接种 确诊 共有 ,无,2022.9.28,474,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226399&idx=1&sn=2faa5967e094623d5e84f8ca03acebc9&chksm=bef921a9898ea8bfd8ee516364cf8400f8a61603034a030ca5c40223b9ddc07ffd3612934a03#rd
378,新西兰重新开放太平洋劳工注册计划 未来两年内提供5900个名额,新西兰移民部长伍德（Michael Wood）近日宣布重新开放太平洋季节性雇主计划。新西兰RNZ网站报道，萨摩亚配额居民签证（Samoan quota）登记将于10月3日开始，太平洋准入类别签证（Pacific Access Category）登记将于10月5日开始。伍德表示，太平洋劳工注册计划将在未来两年为5900人提供成为新西兰居民的机会，有助于减少全球劳动力短缺的影响，并帮助增长经济。伍德称：“这是一个重要的里程碑，因为太平洋准入类别签证和萨摩亚配额居民签证是长期存在的签证类别，使我们的太平洋伙伴国家的民众能够成为新西兰居民。”他说:“它承认了新西兰和太平洋地区之间的历史关系，我们很高兴看到这些签证类别再次向我们的太平洋邻国开放。”目前，只开放一个月的申请登记现在已经主要转移到线上。伍德说:“我们也认识到在某些情况下转向网络会产生的影响，我们已经做了相关工作，以确保有可用的资源，以确保注册者能够轻松地得到在网上申请所需的所有信息。”“未来两年的5900个名额包括正在重新分发的2020/2021年未使用的名额。太平洋准入类别的未使用名额将在2022年和2023年重新分配，而萨摩亚配额居民签证的未使用名额将在2022年至2025年的4年时间内重新分配。我们期待着通过这些途径欢迎更多的来自太平洋邻国的民众。”据悉，萨摩亚配额居民签证的申请将开放到11月2日，太平洋准入类别签证的申请将开放到11月4日。,610,旅游,新西兰 萨摩亚 太平洋地区,太平洋 签证 新西兰 开放 居民 ,太平洋季节性雇主计划 萨摩亚配额居民签证 太平洋准入类别签证 太平洋劳工注册计划,2022.9.26,482,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226345&idx=7&sn=11d742044a8157b1d2b3281dbdf4c361&chksm=bef9215f898ea849f53b30fc483ec0eddb90dba128fd914e9c59a122e999ba08ec356e188bf8#rd
384,马绍尔群岛宣布开放边境：是时候让生活恢复正常化了,【南太之声编译报道】马绍尔群岛9月15日结束了3年多来的健康灾难状态，并在该周内开放边境，允许正常旅行。太平洋岛屿新闻协会网援引马绍尔群岛日报网报道，马绍尔群岛政府的健康灾难状态在当地时间于15日到期，国家灾难委员会表示没有理由继续延长。为应对奥密克戎变种BA.5的传播，政府8月初制定了在公共场所佩戴口罩的规定，预计国家灾害委员会将在短期内取消这一规定。卫生部长尼丹瑟尔（Jack Niedenthal）说:“马绍尔群岛在经历了3年多的卫生紧急/灾难状态之后，感谢上帝，它终于结束了。我想对所有人说一声kommol tata（谢谢），感谢社区范围内的巨大努力，让我们渡过了难关。现在是时候继续前进，让我们的生活（恢复）正常了。”政府首席秘书卡布亚（Kino Kabua）证实，取消戴口罩的规定已列入国家灾害委员会的议程。她说:“目前的命令是基于最初的预测，即我们将经历两到三个月的疫情。但事实并非如此。”奥密克戎变种BA.5在马绍尔群岛经历过一段“起伏”。8月中旬预计（感染）总人口为4.2万人，而在第一批病例出现后的一个星期内，每天报告的感染人数超过1000例。到9月1日，马朱罗（Majuro）和埃贝耶（Ebeye）的病例数下降到每天不到10例，本周马朱罗和埃贝耶几乎没有报告新病例，只有两个外岛报告了少量新病例。自2020年年中以来，马绍尔群岛对入境采取有管理的防疫措施。近日该禁令被解除，成为两年半以来首次开放边境。（周晓编译）,619,旅游,马绍尔群岛,马绍尔 群岛 灾难 病例 开放 ,太平洋岛屿新闻协会网 国家灾害委员会 亚太计划,2022.9.24,488,http://mp.weixin.qq.com/s?__biz=MjM5NjM1OTI1Nw==&mid=2649226300&idx=6&sn=ef21a71a75afca773795e82160e80046&chksm=bef9210a898ea81cafd9bf41d109e8557916417508fb28c593650bb14a026985b1346e6bf62e#rd
